label,title,text
2,Bright Star,"""Bright Star, would I were steadfast as thou are""...A portrait of John Keats and his first love, Fracine (Fanny) Brawne.The setting was beautiful, the story line straight foward; it matched the story of Keats beautifully.Be prepared for love, faith, politics, and saddness.I realize the movie is called Bright Star and that it covers Keats love for Fanny Brawne, but I would have loved to see it continue and touch on Isabella Jones, the woman he met and fell in love with during his final months in Italy.This was a wondeful movie."
2,"Best of the XP series, but still wordy",The books in the series have a lot of whitespace and are chatty andrehashes of each other and this cuts down on the amount of information they impart. Contrast that with Steve McConnells books.This is the best book of the series with some great ideas. They addressed many of the software engineering concerns I had.
2,Beyonce video DVD,The package arrived within the time frame that was given and was in good condition.
2,Quite impressive,"I was using bose earbuds untill i got these,i must say they are equally good if not better. The price on amazon was much better than on the sony website so they turned out to be a great buy for me..No problems with them so far ,have had them for some months now.Only problems is the battery usage,but thats the case with most noise cancelling Headphones.Good buy"
2,"Forget Pictures, This Book Rocks","Simply awesome. That best describes this literary tome. If you buy books for solid content, this is the greatest book available on the television show ""Cheers"". If you buy books for pictures, buy this book and read it while watching ""Cheers"". From cover-to-cover, you will be amazed at how craftily this book is written and how comprehensively it is researched. If you love ""Cheers"" you will love this book."
2,Solgar Niacin 250 mg,I really like this product because it is made without synthetic fillers or magnesium sterate (vegetable source) and still provides a wonderfu niacin flush!
2,Eeboo Alphabet cards,"Eeboo cards arrived on time in perfect condition. They make a unique gift for a baby shower, and a beautiful addition to a baby's room that can later become an educational toy. The illustrations on the Animal Parade set are simply exquisite. Thank You!"
1,This book reveals Rushdoony as a dangerous psychotic,He is in the same moral space as Osama bin Laden--religious fundamentalism justifying any sin. If you are looking for a primer on hypocrisy buy this book.
1,Beautiful product. Terrible company.,"Should have known when I opened the box and the first thing I saw was an inventory list to order missing parts that I was in trouble. Sure enough I had duplicates of two parts with two others missing. I sent in the inventory list asking for replacement parts and they were processed and shipped quickly but one of the parts (the most important one) was still wrong. Out of frustration I built the wine rack without the back panel since Winsome is incapable of sending a correct ""middle"" shelf with the proper notches to install back panel. Piss poor job of getting me the product I expected."
1,Returned,"Express card version works great, PCMCIA version not so much. I decided a regular bluetooth mouse with its own pouch was much more useful.Oddly enough, the shape of the express card version looks a little goofy but fits the hand much better than this one. If you have the option, get the express card (Its cheaper anyways)."
2,Excellent!!!,Exquisite in the portrayal of some of the Christmas music I grew up with. You will not often get the chance to hear something like this.
1,saved data gets corrupted,"I was overseas working on a job that requires collecting data and saving/working on excel, power point, and word files (MS Office). It came in very handy until my data started getting corrupted. some of Excel and Words files were totally lost, all I could see was yyyyyyyy..... basically lost 2 days worth of work. I think some section of memory might have gone bad. I heard from couple of people that sandisk flash memory is slow and not reliable, but I bought it anyways. my mistake and won't be purchasing sandisk anymore."
2,Salvatore at his best,"Salvatore has done it again in the third book of the Icewind Dale Trilogy. Entreri, intrigued by Drizzt and wanting to prove that his moral code is the better, that by losing his goodness and bringing his body under absolute control, by honing his muscles to their finest fighting edge to the exclusion of all else, he has become a pure fighter, undefeatable. So he takes Regis and draws Drizzt into a fight he cannot avoid. I think, the most compelling thing about Salvatore's books is his beginning of section musings, a probe into the honorable and wise mind of Drizzt Do'Urden. And in his writing it is apparent that he sees these characters as more than just words on a page, he has done a masterful job of making us see the same thing. For breathing life into a book I will never tire of reading, I thank you, R.A. Salvatore. Nathan Jones"
2,Katz is King,"Mr. Bryson, is Steven Katz a real person? If not, you have created the perfect foil. But Katz, if you are real, forget building houses in Des Moines, WRITE SOMETHING! Or do comedy. I have NEVER laughed so hard at a book! At one point my husband thought I was choking, I was laughing so hard."
2,Bought it as a gift,The recipient seemed to be really happy I got it for him. So I was pleased with the product.
2,Not a Bad Movie at All!,"I thought this was a fun movie to watch. It was cool how they filmed at Planet Hollywood, Red Rock Resort and Hard Rock Casinos. Makes me want to go out to Vegas to try my luck!!!I have read the book Bringing Down the House and the movie doesn't follow the story exactly but what movie does? Just wondering why they didn't call the movie Bringing Down the House instead. This is a much better title than the bland 21.I agree with a previous poster that Kate Bosworth's hair was not very attractive in the film. I guess they are trying to say MIT girls aren't as pretty compared to schools like UCLA or Florida."
1,THIS ALBUM HAS NO AFFILIATION WITH HUMSTING RECORDS,THIS ALBUM HAS NO ABSOLUTELY AFFILIATION WITH HUMSTING RECORDS!!!
1,Poor Quaility (9/26/06 Update: Excellent Quaility!!!!),"If this release is any thing like the set in the Ultimate colection, save your money. Only a few of the episodes looked to be remastered and cleaned. The others were dirty and would loose focus at tmes. One episode kept going in and out of focus all through the episode. Don't buy the set unless Fox releases a better quaility remastered set.***UPDATE***Hey All, These ARE NOT the same release as in the Ultimate set. These have been remastered and cleaned. The quaility on this release of the cartoon series is the best I have ever seen. I rate this set 5 large stars!!!"
2,A must buy!!,"Bon Jovi's new cd ""Have A Nice Day"" is a premiere cd for the New Jersey rockers.All the songs fit together on the cd and help it to flow along. When you put it in and start with the lead single ""Have A Nice Day"" before you know it, you're at the 13th song of ""Who Says You Can't Go Home"", the duet with Jennifer Nettles of Sugarland. When that happens, you'll push play again.Bon Jovi do not disappoint their fans with this latest cd. The songs are all upbeat and not a ballad to slow down the pace. A nice change.Songs that standout are: Complicated, Last Man Standing & Welcome to Where Ever You Are.Of course, all fans are different....so those songs will vary.To the Bon Jovi fans or the non-Bon Jovi fans on the fence about this cd...BUY IT. It will not disappoint and you will find yourself listening to it more than once."
1,Don't waste your money!!!!!,"I have tried 3 types of pumps: electric, batery, and manuel. I thought I could save a little money and go with the cheeper pupms, but obviously I could have saved my self the time and money and gone with 2 of the Isis manual pumps and been much happier than I was with this. This pump looses its suction and will give you a cramp trying to even get an ounce. Three months of pumping with the Isis got me spoiled and I will never reccomend anything but Isis from now on!"
2,Nostalgic fourwheeling,I bought this book while on vacation in Colorado. Other reviewers suggest that it is out of date and certainly there are more explicit trail guides to this State but it's a great piece of nostalgia. I love the pictures of flatfender CJs when they were almost new and ghost towns before the weather took away many of the buildings. It sits alongside other vintage Jeep books in my house.
1,Hides behind humor,"For all of you who think his facts are undeniable, you seem to ignore the pages of claims he makes, but doesn't feel the need to document them bacause after all it's just humor. For example when he says that Coulter would phrase something this way. He says what he wants to say but doesn't document it in the guise of humor. For someone who is all over Coulter's endnotes, he sure seems to have his fair share, and a lot harder to match up with the statement he is documenting than are Coulter's."
2,Unbelieveable!,"This is the best CD I have ever heard from start to finish!!! And I'm usually very picky...it's kinda got a mix between Black Sabbath of old days with a little Kansas influence thrown in (some of my favorites from years gone by). Now blend that with a fresh reggae style and they have truly made the music all their own! Actually it's hard to compare them to anything else, cause it's really - VERY AMAZING MUSIC - a spiritual experience!!! Check out ""Escape"" on the bonus DVD...It's pure energy and fast guitar work in one great song! Enjoy the ride..."
2,Amazing Ballad - You Can Have Me Anytime,"This one ballad - You Can Have Me Anytime - is so beautiful, its indescribable.Isn't it time you KNEW!"
2,"Very Strong Magnets, Very Brittle Exterior","These magnets are incredibly strong. I've placed all four of them in a row & used them as a stud finder -- they are drawn to nails in drywall like fleas to a dog.If you allow these magnets to slam together, you may end up with surface cracks and/or chips on some of them."
2,Awesome coffee maker,"After reading a ton of the reviews and missing REAL European coffee, I bought the Bialetti Moka Express. This little guy makes rich, full-flavored coffee in about 7 minutes. Items to note - make sure you are using FINE ground coffee and don't over-pack; on an electric stove keep the temp at 4-5 medium; make a few cups to throw out first before drinking to season the pot."
2,How do I do that?,"A schoolfriend who recently tracked me down after 30 years sent me this book. He obviously knows me better than I thought. If, like me, you have always wondered how things work, how to fix things, how to reproduce finishes etc., and have a moderately well-equipped garage or workshop, then this is the book for you! Some of you may recall the excellent style of 'Curly' or 'LBSC' who wrote for Model Engineer decades ago; Guy Lautard is from the same mould, and can teach anyone how to use tools and make things which will impress their friends. I look forward to reading the next one."
1,Broke it.,"I guess it would be the tongue of tongue and groove that broke off. Used it 3 or 4 times. I was pulling on it with all my might but was still surprised that I could break it like that. The tongue where it attaches to the body was surprisingly thin I thought. If you need a heavy duty plier as would most people who would buy something this big, I would go for a better brand like channel lock."
1,Pass this one by!!!,"This LSAT Prep book is boring!!! If you want a general overview of the LSAT and a brief overview of some techniques, then maybe this would help you a little bit. The strategies they recommend are too time-consuming for me. Beware, this book didn't help me that much, if any, and the strategies are a little weird. I'd recommend buying PrepTests from LSAC and practicing with real tests rather than the ones provided here. There are plenty of better prep books than this one."
1,Disapointing,"Just a bit too big for a standard stove. Didn't like the coating on the pan, couldn't use metal tools and was sensative too much heat. So I returned it."
2,An exceptional writer's close-up observations of ranch life,"I discovered this book while working as a tour guide in Wyoming, and found that it captured the spirit of the place beautifully. Ehrlich is an outsider-turned-insider, which I learned from her writing and from accounts of Wyoming natives who knew her and indeed respect her. Her accounts take you to shepherding and into a Native American sun dance ritual; fascinating stuff and there's much more. Her prose is highly poetic. My wife and I have recommended this book to many people over the years, and each person has thanked us profusely for the advice. That includes a New York native who moved to Montana, and he, too feels that this book captures the heart of the region."
2,GREAT!,"It's a great toaster! Unlike most of the ones we owned in the past, this does NOT make a mess (crumbles everywhere!) We like the design and functionality of it!"
2,Works great,"The drive was recognized immediately by all of the computers that I use. The transfer rate is very fast and I have heard nothing from the drive when it is operating. There was an earlier complaint about it being noisy, but my drive is very quite.Features that I wish it had ---1 - It has to be manually shut off when turning off the computer.2 - There is no backup software provided.Outside of these issues, it works perfect."
2,A rare and good book,Priceless!! Gives firsthand insight into the wireless era and the high tech of the day!
1,Ineffective,"The smell and gentleness were great, but the product did not seem to help banish blemishes. I used it for at least a couple weeks, and my breakouts somehow became worse. I'm not sure if the product had something to do with that or if it just failed to help at all. I had high hopes for this since I'm a proponent of natural ingredients and it cost so much, but it really seemed to fail at its task. Also, I wish it would list the percentage of tea tree oil, because products supposedly need 5% to be effective against acne."
1,lost air,I put some blankets in one of the jumbo bags and within HOURS some of the air was back into the bag. The plastic material these are made out of is much too thin.Really disappointed - love the idea and wish I could find a brand that actually does what it promises
2,the best cd in a long time,"i've been lene marlin's fane since her first album, and i was really looking forward to her second album. it was a long wait but it was worth it!! after listening to it, i think that it is the best album i heard in a very long time it is even better than her first (which was also amazing) her lyrics are so beautifull and soft she has a way of reaching out and bring you in to her world. lene writes all the music herself.i recomend this album to anyone who loves beautifull lyrics with great soft melodies to match!"
2,I love this product!!!,I have been using this product for about 10 years and I love it. I have tried a few other water conditioners but my tanks always just seam to be healthier when I use this product. I highly recommend it :-)
1,Great CD for 1 song,"I reached in to my cd case to play Abacab for the first time in many years and realized I don't have the CD... and my cassette is long gone. So in reviewing the track listing, I remember that there is only one song on the CD and that is the title track Abacab. Incredible song with long instrumental stretches.However, the remainder of this disc compels me to look for a used copy somewhere. Who Dunnit? Yuck. Phil Collins is tolerable as a solo artist, but he pretty much dominates this band by this time. His so called ""r&b"" infusion in to Genesis has no place. Leave the horn section to some light jazz band. Notice Collins has some irritating song on every one of his solo recordings?Find a used copy if you want this cd, too many weak songs."
1,Apple Support only good in continental US,"After buyng the Apple Support Plan for Apple TV, I went to register it and apple does not offer the sevice outside of continental US. Other websites alert you before you buy it so you know before spending the money. I am trying to solve the issue with Apple, if I am not satisfied, I will request a refund."
1,Awful & Cheap movie!,"How far these once fine actors have fallen to have ""starred"" in this bombshell!This has to be the cheapest made movie i have ever watched! The story line sucked,it didn't wrap up what story there even was. It was just awful! The ""special effects""and i use the term loosely, were pitiful. Don't waste your time or money on this one."
1,looks better on the website.,"I bought a faux fur tree skirt last year from them, and I really liked it. This one looks a little cheap. The background looks more white on the photo but in reality it is kind of a dirty cream. I wish I hadn't bought it. It is definitely not plush. This seller has the worst customer service I have ever seen."
1,Don't bother,"I've read every word (and loved them all) that Amy Tan has written - up to ""Saving Fish"". I tried and tried, but just couldn't come to care about any of the myriad of characters that were introduced in just the first 2 cassettes (when I gave up). Further, the unabridged book on tape is read by the author, who should leave the task to a more talented actress.Hopefully, she will work with a different editor on her next effort. My advice is: wait."
1,Black Hawk Failure,I am going to be to the point. DO NOT BUY THIS DVD. WHY?1) No features2) Full Metal Jacket beats this movie3) Acting so-so4) Story okay but not good enough for you to spend full price.5) It is too long and never gets to the point.6) No minorities at least not enough and they were in a Africa(HELLO)7) Leave no man behind? They left and made them run- patriotic enough for you.If you are into war then buy it- but at least buy it for less. Go somewhere else and buy it full 50% off or something. DO NOT WASTE YOUR TIME.If you aren't into war movies- simply pass by.If you are into war movies so-so buy something else.Simple enough for you?
1,Buy a different coffee maker,"I purchased this coffee maker about 6 months ago, and have had nothing but problems with it. The water filter caused the water to only drip in one spot of the filter basket, so only part of the coffee grounds were used. This problem was fixed by removing the water filter. Everything else seemed okay for awhile... Then the pause to pour failed to work. ""Okay, I'll just wait until the pot is finished brewing."" Two days ago, it just went berserk by over filling the filter area while brewing and overflowing. That's it! I purchased a new coffee maker. This is the 2nd Mr. Coffee that I have purchased in the past year. I refuse to purchase this brand in the future."
1,Delonghi Dehumidifiers are useless,"I too made the mistake of thinking that Delonghi was capable of making such a simple device that will work.I ran it for almost a week before giving up and returning it. In ideal conditions for dehumidifying, 71 degrees F and 75% humidity, this dehumidifier collected NOTHING. Not one drop. I checked everything they say to check. Nothing was set wrong and I tried various settings. It just plain doesn't work ... brand new out of the box."
1,Went back to epilator,"I tried this waxing product three times. It left the skin on my arms red and irritated, with each hair follicle evident. Professional waxing at a salon is incredibly better."
2,A BRILLIANTLY WRITTEN CLASSIC,"From the poetic opening to the climatic ending, Don Delillo doesn't fail to deliver what is promised; a dark piece of history on paper.Character's are expertly crafted and there is rarely the sentence lacking in ingenius observances and irony. Dialogue is extremely provocative and difficult events are pictured with masterful eloquence. The plot itself is very well-crafted if not neccessarily executed to the fullest. The ever-present cynicism is also very welcome and blesses the novel with a unique feel.If there is a flaw with the book, it must be said that there is a lack of consistent progression. You ca devour a hundred or more pages without having a sense of a developing plot. This factor is why I haven't recommended this book any higher. I still believe White Noise is has yet to be toppled over its lofty perch.However, despite this shortcoming, this book is testimony to Delillo's position in comtemporary literature: a master for lesser's to see."
1,"Too many pieces, too much hassle.","The only good thing about this sipper cup is the plastic cover. There are seven pieces in all. That means seven pieces to wash, seven pieces to sterilize, seven pieces to dry, and seven pieces to assemble. What a hassle, it's not worth the effort. (...)"
2,Notes on ICU Nursing: FAQ Files from the MICU: Second Edition,"This book has pertinent information in a easy to read format. The added humor in various sections creates a ""fun break"". As a nurse of 20 years, I found new information, and decided to purchase a book for a ""New"" nurse in the unit. I have gotten very good feedback from other nurses on this book. I find the unit can get very busy at times, and finding time to answer some questions can be difficult, this book is organized in a conversation Q&A format. It also has added pictures from the original book. You will not regret purchasing this book."
1,Not what i thought i ordered.,"I thought i was Ordering A new CD, But what I received was A scratched up old vinyl record . I haven't got around to sending it back yet, But I will. Thankyou Karen Thomas"
1,What a letdown,"Don't get me wrong, I love the Matrix and the whole idea behind it. 1 and 2 were great movies, full of action and awesome special effects. Revolutions however was a horrible way to end such a legendary story. It was cluttered with scenery instead of cool special effects and fight scenes, and if felt very dragging. I was expecting to see Neo finish the whole thing and he didn't do anything monumental (I won't ruin the end for those who haven't seen it) I also got this feeling of a religious metaphor with the savior and sacrifice and peace and all....not my style, thanks. I actually booed at the end. Better than most movies, yes, but come on, this is the MATRIX! It was a disgrace. I won't buy the DVD."
2,Inspirational Masterpiece,"The collaborators of this CD have done a masterful job of blending famous artists, news reports, comments, and speeches of the participants of this historic event. I have continued to listen to this CD long after its initial release in 2001. I think it should be re-released on each anniversary of 9-11. It is one of the most inspirational albums I have ever heard. It comes highly recommended."
1,Okay For The Most Part,"The actress who plays Jane is quite good, and is certainly PLAIN. The story is interesting or not, as you please. I can't quibble too strongly with this adaptation, except in one major detail.William Hurt's performance as Rochester is one of the weirdest, and worst, ever put on film. He plays the role as if Rochester was afflicted with narcolepsy, and is having an especially hard time staying awake. Hurt's characteristic mumbling and bizarre attempt at an English accent don't help matters much. I don't see what on earth possesses even that poor governess Jane Eyre to find him even at all attractive. Weren't there any hunky stableboys she could be dallying with?There's a far more effective version starring George C. Scott, who is similarly untraditional in his outlook on Rochester but manages through sheer intelligence and acting ability to make it work. Seek out that version for an entertaining and moving version of this story."
1,Too bad it can't be rated 0 stars,"Typical Disney software - it should take a developer an afternoon to put this together. Disney should be ashamed for charging money for such a weak, boring, uninspired product. There's better free games for my kids.Buy this and your kids will be bored with it in 30 minutes and you'll feel stupid for giving Disney your money."
2,It really does improve the way things work!,I have a middle price range audio system and a friend told me that I should include a power conditioner as part of the system because I have rather dirty power coming out of my sockets and it caused a slightly audible hum. I couldn't afford to spend the $3... for a real conditioner so I bought this thing hoping that it would do something in terms of quieting down the electricity. I was stunned that I couldn't hear anything but my stereo after that. Good deal.
2,Good Choice,"When Sandy blew away my old outdoor thermometer, I started looking for another. This fills the bill, is pretty accurate and the price is right in case of another storm."
2,Never Gone?thank God for that!,"Not quite what I was expecting but after more than a few listens(it hasn't been out of my cd player in over a week now) I have come to the conclusion that it's just about the best cd they've released-totally unbiased as you can see!I particularly like ""Poster Girl"",in fact the only one that is yet to grow on me is ""Weird World"".It's been so long in the coming that I thought I might have been disappointed -I'm so glad that I wasn't!In my mind well worth the 10 that I paid for it.One question though boys-when can we see you touring in the UK?"
2,The best game of UFC Series!,This is the best game of UFC!!! If you wanna a big fun game that's simply perfect! I recommended!
2,Perfect devise for me.,If you don't care to watch videos but want to listen to music on the go this product is perfect for you.
1,I Have to Agree with Sour...,"I just finished the book, and while the spirit of the thing is terrific, I was a little disappointed with the typos and misstated facts - there are also a lot of lyric errors and one page that seems to end with the middle of a sentence and doesn't connect with the next page.The author is obviously a big fan but some of his articles sound a bit too much like research papers for college.I hope a future edition (if there is one) will correct this stuff."
1,Redux Review: Buy The CD's,"Years ago, I wrote a bad review of this DVD. Since that time, I have SEVERELY altered my position on David Cross as a whole. What initially threw me about this DVD was that I bought it under the guise that it was a proper stand-up special when this is actually more of a ""behind-the-scenes"" sort of documentary-style video. While I still maintain that the DVD was a huge disappointment, consider me ""on board"" as far as David Cross' stand-up comedy is concerned. I just wish the DVD had been what I expected. Oh well....."
2,Nothing is wrong.,It arrived on time and nothing is wrong. No problem to use it for my blower.It arrived on time and nothing is wrong. No problem to use it for my blower.
2,Good Information,"This book gives very practical, in your real world advice. I saw where I was missing it, and made corrections in my own behavior. Then I was able to see more clearly how to change my child's behavior. Their behavior feeds off of yours."
1,There are better cases out there...,"This is an ok product. I'll break it down into pros & cons:PROS: It covers nearly everything on the iPod.CONS: The stitching on the interior scratches the iPod. It's also very hard to connect anything to it while it's in the case, so you have to take it out to connect it to anything. The belt clip is bulky, and the arm strap is cumbersome.Basically, this is a good case, if you plan on just leaving the iPod in there. Otherwise, I would go with one of those cool silicon cases.In the end, I ended up taking this case back."
2,Fire my high school math teachers,"All throughout high school I struggled with math. I always thought that it must simply be a subject I wasn't meant to understand. Twelve years later I've decided to begin college. I bought this DVD in hopes of doing well on the placement exam. I couldn't be more happy with Jason Gibson's Fractions Through Algebra. His delivery of the material is factual and straightfoward. He is easy to follow and always builds on the previous lessons, moving at a comfortable pace to more advanced material. I had no idea algebra could be so simple. I have learned more in one week with this DVD than I did in thee high school math classes.The DVD seems to be VHS quality, but for the knowledge it contains I will gladly accept a less than crisp recording."
2,The best introductory book on statistical physics (especially for biology),"This book is a triumph of technical writing. Ken Dill possesses an extraordinary ability to distill complex technical concepts down to the cogent bits necessary to understand the physics of the situation. The maxim, ""make it as simple as possible, but not simpler"" definitely applies here. The only major challenge with this book is that a reader may come away with a notion of inflated comprehension. This is not a fault...just a byproduct of the big contrast between the clarity of the Dill (and Bromberg) text and the other, technically obfuscated, textbooks and articles in the field.Easily the best (introductory) textbook on statistical physics that I have encountered, and the only one that I can heartily recommend to a student or non-specialist."
2,A hilarious look at a sad childhood,"There is no question that the childhood of Stan Evans and his twin brother was by today's standards completely dysfunctional and often abusive. Life with a certifiable mother can never be easy, but the author manages to find humor in even the most heartbreaking situations. Told with mattter of fact candor and plenty of laughs this is one memoir on the dysfunctional childhood that looks for no pity."
1,enhance what?,"this product did not do anything at all. i tried it about six times and did not feel any ""enhancement"" at all. it is basically crap. maybe they need to do some more work on that formula!!!"
2,Park Link Plyers,A must have tool. No more fighting to remove an old master link and no more pinched fingers! A simple device that just simply works!
